耳 3C2A BCAA U+8033
自 3C2B BCAB U+81EA
辞 3C2D BCAD U+8F9E
鹿 3C2F BCAF U+9E7F
式 3C30 BCB0 U+5F0F
識 3C31 BCB1 U+8B58
軸 3C34 BCB4 U+8EF8
七 3C37 BCB7 U+4E03
執 3C39 BCB9 U+57F7
失 3C3A BCBA U+5931
嫉 3C3B BCBB U+5AC9
室 3C3C BCBC U+5BA4
湿 3C3E BCBE U+6E7F
漆 3C3F BCBF U+6F06
疾 3C40 BCC0 U+75BE
質 3C41 BCC1 U+8CEA
実 3C42 BCC2 U+5B9F
芝 3C47 BCC7 U+829D
舎 3C4B BCCB U+820E
写 3C4C BCCC U+5199
射 3C4D BCCD U+5C04
捨 3C4E BCCE U+6368
赦 3C4F BCCF U+8D66
斜 3C50 BCD0 U+659C
煮 3C51 BCD1 U+716E
社 3C52 BCD2 U+793E
者 3C54 BCD4 U+8005
謝 3C55 BCD5 U+8B1D
車 3C56 BCD6 U+8ECA
遮 3C57 BCD7 U+906E
蛇 3C58 BCD8 U+86C7
邪 3C59 BCD9 U+90AA
借 3C5A BCDA U+501F
尺 3C5C BCDC U+5C3A
爵 3C5F BCDF U+7235
酌 3C60 BCE0 U+914C
釈 3C61 BCE1 U+91C8
若 3C63 BCE3 U+82E5
寂 3C64 BCE4 U+5BC2
弱 3C65 BCE5 U+5F31
主 3C67 BCE7 U+4E3B
取 3C68 BCE8 U+53D6
守 3C69 BCE9 U+5B88
手 3C6A BCEA U+624B
朱 3C6B BCEB U+6731
殊 3C6C BCEC U+6B8A
狩 3C6D BCED U+72E9
珠 3C6E BCEE U+73E0
種 3C6F BCEF U+7A2E
腫 3C70 BCF0 U+816B
趣 3C71 BCF1 U+8DA3
酒 3C72 BCF2 U+9152
首 3C73 BCF3 U+9996
儒 3C74 BCF4 U+5112
受 3C75 BCF5 U+53D7
呪 3C76 BCF6 U+546A
寿 3C77 BCF7 U+5BFF
授 3C78 BCF8 U+6388
樹 3C79 BCF9 U+6A39
需 3C7B BCFB U+9700
囚 3C7C BCFC U+56DA
収 3C7D BCFD U+53CE
周 3C7E BCFE U+5468
宗 3D21 BDA1 U+5B97
就 3D22 BDA2 U+5C31
